IGNORE FOR NOW Brand (from cigargeek_detail.csv),Brand,Brand,Brand cleaned,"some variations in name, 
denoted as same. 
add to transform rules?",Instructions,Title (Brand + Line) Best Cigar Prices,Title (Brand + Line) JR Cigars,Title (Brand + Line) Atlantic Cigar,Title (Brand + Line) Cigar International,Title (Brand + Line) Neptune,Title (Brand + Line) famous smoke
La Brisa,,,,,,SOUTHERN DRAW,Moya Cigars,,,,
Andrea's by Te-Amo,,,,,,Southern Draw Firethorn,MoyaRuiz Cigars,,,,
Don Nicolas,,,,,,Southern Draw Jacobs Ladder,Mr. B,,,,
Sao Salvador,,,,,,Southern Draw Kudzu,Muestra de Saka,,,,
Cubano Claro,,,,,,Southern Draw Manzanita,Murcielago,,,,
Charles the Great (Finck),,,,,,Southern Draw Quickdraw,MUWAT by Drew Estate,,,,
The T,,,,,,Southern Draw Rose of Sharon,My Father,,,,
Isabella,,,,,,Spirit of Cuba,My Father Cigars,,,,
Carl Upmann,,,,,,St. Luis Rey Serie G,National Brand Honduran,,,,
Bunch (by Plasencia),,,,,,StillWell Star,Nestor Miranda Special Selection,,,,
Cigar Express,,,,,,STINKY CIGAR ASHTRAYS,New Wave Connecticut by E.P. Carrillo,,,,
Triple Harp,,,,,,Swedish Delight,New World by AJ Fernandez,,,,
Tortuga,,,,,,SWISHER SWEETS,New World Cameroon by AJ Fernandez,,,,
Omar Ortez,,,,,,TABAK ESPECIAL,New World Connecticut by AJ Fernandez,,,,
Don Felo,,,,,,Tabaquero Hamlet Paredes by Rocky Patel,New World Oscuro by AJ Fernandez,,,,
REO,,,,,,TABERNACLE,New World Puro Especial by AJ Fernandez,,,,
Camaleon,,,,,,TAINO,New York,,,,
Bahiba,,,,,,TAMBOR DOMINICANO,Nica Rustica,,,,
Revolucion,,,,,,TAMPA TROLLEYS,Nica Rustica Broadleaf,,,,
Creme de Jamaica (DR),,,,,,TATIANA FLAVORED,Nicaraguan Factory Overruns,,,,
Brahma,,,,,,TATUAJE,Nicaraguan Nude Bundles,,,,
Bodyshot,,,,,,Tatuaje Black,Nicaraguan Nude Connecticut,,,,
Miami Mafia (by Cubanissimo),,,,,,Tatuaje Cojonu,Nicaraguan Nude Habano,,,,
Dominican Special Selection,,,,,,Tatuaje Cojonu,Nicaraguan Overruns,,,,
Goya,,,,,,Tatuaje Havana VI,Nicaraguan Series by AJ Fernandez,,,,
La Luna de Santa Maria,,,,,,Tatuaje Havana VI Verocu,Nicaraguan Series by Oliva,,,,
Cabanas (JR Cigars),,,,,,Tatuaje La Verite,Nicaroma,,,,
Treasures of Costa Rica,,,,,,Tatuaje Mexican Experiment ME I,NightShade by Drew Estate,,,,
Belmondo (Thompson),,,,,,Tatuaje Mexican Experiment ME II,Nub,,,,
Dominican Santiago Selection,,,,,,Tatuaje Reserva,Nub Nuance Double Roast,,,,
Sihuapan,,,,,,Tatuaje Series P,Nub Nuance Single Roast,,,,
Diogenes Puentes,,,,,,Tatuaje Tattoo,Nub Nuance Triple Roast,,,,
Don Julio,,,,,,TE AMO,Nude Dominican Bundles,,,,
Toro Bravo,,,,,,TEDS MADE BY HAND,Odyssey,,,,
Habana Gold,,,,,,THE HIVE,Odyssey Coffee,,,,
Celestino Vega (Indonesia),,,,,,The Ogre by Asylum,Odyssey Connecticut,,,,
San Vicente Collection,,,,,,The Ogre by Asylum,Odyssey Full,,,,
Fox Cigar,,,,,,THE UPSETTERS,Odyssey Habano,,,,
Vega Fina (Sp),,,,,,The Wise Man,Odyssey Sweet Tip,,,,
Cutter's Cigar Emporium,,,,,,Thunder by Nimish,Oliva Cain,,,,
Trader's Reserve,,,,,,Timeless Panamericana,Oliva Cain Daytona,,,,
Cuban Heirloom,,,,,,Timeless Prestige,Oliva Cain F,,,,
Alfons Mayer,,,,,,Timeless Sterling,Oliva Cigars,,,,
International,,,,,,Timeless Supreme,Oliva Connecticut Reserve,,,,
Fidel's,,,,,,TOP SHELF SECONDS,Oliva Master Blends 3,,,,
Talavera,,,,,,TOPPER,Oliva Melanio JR 50th Anniversary,,,,
Fine Catch,,,,,,TORO DE ORO,Oliva Seconds,,,,
Nadi,,,,,,Toscanello,Oliva Serie G,,,,
Maravilla (MGM),,,,,,TOSCANO,Oliva Serie O,,,,
La Maximiliana,,,,,,trader jacks ,Oliva Serie V,,,,
Parodi (Avanti),,,,,,TRAVEL,Oliva Serie V Maduro Especial,,,,
La Pantera,,,,,,Trinidad Espiritu,Oliva Serie V Melanio,,,,
Mocha Supreme,,,,,,Trinidad Espiritu No. 2,Oliva Serie V Melanio Maduro,,,,
Caobanero,,,,,,Umbagog,Oliveros All Stars No. 5,,,,
San Marco,,,,,,Undercrown,Oliveros Cigars,,,,
Ojeda,,,,,,Undercrown 10,Oliveros Gran Retorno Connecticut,,,,
Cuban Blend (Best Cigar Prices),,,,,,VALLEJUELO,Oliveros Gran Retorno Habano,,,,
Montego,,,,,,VARIETY PACKS,Oliveros Gran Retorno Maduro,,,,
Neptune,,,,,,VEGA FINA,Olvidados,,,,
La Flor de el Cairo,,,,,,VEGA FINA ROBOLO,Omar Ortez Cigars,,,,
Wilson Adams,,,,,,VERTIGO,Omar Ortez Maduro,,,,
Kinsella Fino,,,,,,VILLIGER,Omar Ortez Originals,,,,
Casa de Ortez,,,,,,Villiger 1888,Onyx Bold Nicaragua,,,,
JB Selection,,,,,,Villiger Braniff,Onyx Cigars,,,,
Rafael,,,,,,Villiger Color Line,Onyx Reserve,,,,
Antonio Fermin,,,,,,Villiger Corrida Brazil,Optimo Cigars,,,,
El Cedro,,,,,,Villiger Corrida Brazil,Oracle,,,,
Allegria!,,,,,,Villiger Corrida Dominican Republic,Oscar Valladares Cigars,,,,
Cabanas y Carbajal,,,,,,Villiger Corrida Honduras,Oscar Valladares Ciseron Edition,,,,
Yankee Clipper,,,,,,Villiger Corrida Nicaragua,Oscar Valladares Heaven and Hell,,,,
Candela,,,,,,Villiger Cuellar Black Forest,Oscar Valladares Limited Edition,,,,
Maroma,,,,,,Villiger Cuellar Connecticut Kreme,Oscar Valladares McFly,,,,
Dominicana Superba,,,,,,Villiger Do Brasil,Oscar Valladares Super Fly,,,,
Rochesterville 1831,,,,,,Villiger Exports,Oscar Valladares Wild Hunter,,,,
Deseo,,,,,,Villiger Kiel,Padilla 1932,,,,
Loose Cannon,,,,,,Villiger La Vencedora,Padilla Cigars,,,,
La Sabana (Nicaraguan),,,,,,Villiger Premium,Padilla Doctrine,,,,
Ritz Square,,,,,,Villiger San Doro,Padilla Finest Hour Connecticut,,,,
The Flava,,,,,,WALL STREET,Padilla Finest Hour Oscuro,,,,
Winthrop,,,,,,WARPED,Padilla Finest Hour Sungrown,,,,
Shangri La,,,,,,WHIFF INDUSTRIES,Padron 1926 Series,,,,
Grand Cameroon,,,,,,WHITE OWL,Padron Cigars,,,,
Great (bleeping) Cigars,,,,,,WYNWOOD,Partagas 160 Signature Series,,,,
La Libertad (Nic),,,,,,WYNWOOD HILLS,Partagas 1845,,,,
Illuminati,,,,,,Xen by Nish Patel,Partagas 1845 Extra Fuerte,,,,
Guglielmo Winery,,,,,,XIKAR,Partagas 1845 Extra Oscuro,,,,
Don Rex,,,,,,ZINO,Partagas Black Label,,,,
Monsenor de la Habana,,,,,,Zino Nicaragua,Partagas Certified Vintage 1998,,,,
Bundle Selection (Cusano),,,,,,Zino Platinum Scepter,Partagas Cigars,,,,
Patriot,,,,,,,Partagas Cortado,,,,
Reyes y Benicio,,,,,,,Partagas Heritage,,,,
Esteli Ruiz,,,,,,,Partagas Legend,,,,
Madison,,,,,,,PDR 1878 Cafe,,,,
Tiburon,,,,,,,PDR A Crop,,,,
Buffalo Cigars,,,,,,,PDR A. Flores 1975 Serie Privada,,,,
Habana Cuba (Oliveros),,,,,,,PDR A. Flores Gran Reserva,,,,
Morro Castle,,,,,,,PDR Cigars,,,,
Alta Gracia,,,,,,,PDR Connecticut Valley Reserve,,,,
Arsen,,,,,,,PDR Connecticut Valley Reserve Maduro,,,,
Pastora,,,,,,,PDR El Criollito,,,,
CasaMontez,,,,,,,PDR El Trovador,,,,
El Baton,,,,,,,PDR Reserva Limitada,,,,
MiHabano,,,,,,,PDR Small Batch Reserve,,,,
Cienfuegos (DR),,,,,,,PDR Small Batch Reserve Wicked Pugs,,,,
Carmelo,,,,,,,Perdomo 20th Anniversary,,,,
Nobleza,,,,,,,Perdomo Cigars,,,,
Palma,,,,,,,Perdomo Connoisseur Collection,,,,
Alma Sweets,,,,,,,Perdomo Double Aged 12 Year Vintage Connecticut,,,,
Cirilo,,,,,,,Perdomo Double Aged 12 Year Vintage Maduro,,,,
Arturas Felipe,,,,,,,Perdomo Double Aged 12 Year Vintage Sun Grown,,,,
Quisqueyana,,,,,,,Perdomo Edicion de Silvio,,,,
La Legendaria,,,,,,,Perdomo Fresco,,,,
VMI,,,,,,,Perdomo Habano Bourbon Barrel-Aged Connecticut,,,,
Compay (by Perdomo),,,,,,,Perdomo Habano Bourbon Barrel-Aged Maduro,,,,
Dos Reinas,,,,,,,Perdomo Habano Bourbon Barrel-Aged Sun Grown,,,,
Crown Fumas,,,,,,,Perla del Mar Shade,,,,
La Riqueza,,,,,,,Petri,,,,
Miguel Grau,,,,,,,Phillies Cigars,,,,
Royal Barbados,,,,,,,Phillies Filtered Cigars,,,,
Ibold,,,,,,,Plasencia Alma del Campo,,,,
El Unicorno,,,,,,,Plasencia Alma del Fuego,,,,
John Starks (Dominican Legend Cigars),,,,,,,Plasencia Alma Fuerte,,,,
Don Julian,,,,,,,Plasencia Cigars,,,,
Amerigo (Thompson),,,,,,,Plasencia Cosecha 146,,,,
Mantequilla,,,,,,,Plasencia Cosecha 149,,,,
Jucy Bluntarillo,,,,,,,Plasencia Reserva Original,,,,
El Faro (Thompson),,,,,,,Pledge by EP Carrillo,,,,
Y.O. Yaxel Ortiz,,,,,,,Prime Time Filtered Cigars,,,,
Vivaldi,,,,,,,Primo del Rey,,,,
Jose Llopis,,,,,,,Quesada 1974,,,,
Etiqueta Azul,,,,,,,Quesada 40th Anniversary,,,,
Octavo,,,,,,,Quesada Cigars,,,,
Antonio Benitez,,,,,,,Quesada Keg,,,,
Leuzzi Fumar,,,,,,,Quesada Oktoberfest,,,,
Liga Maestro (Mombacho),,,,,,,Quesada Oktoberfest 10th Anniversary,,,,
Da Vinci,,,,,,,Quesada Q D'etat,,,,
Conquista (by Rocky Patel),,,,,,,Quesada Reserva Privada,,,,
Por Larranaga,,,,,,,Quesada Seleccion Espana,,,,
John Bull,,,,,,,Quintero,,,,
Rising Sun,,,,,,,Quorum Cigars,,,,
Juan Lopez (Cuban),,,,,,,Quorum Classic,,,,
Danli Reserve,,,,,,,Quorum Maduro,,,,
Morocho,,,,,,,Quorum Shade,,,,
Jimenez,,,,,,,Ramon Allones,,,,
Roro Mendut,,,,,,,Ramon Allones by AJ Fernandez,,,,
Rumba,,,,,,,Ramon Allones Cigars,,,,
Joya del Rey,,,,,,,Ramon Allones Heritage,,,,
Fields of Gold,,,,,,,Ramon Allones Reserve,,,,
Villazon Hatsa,,,,,,,Ramrod,,,,
Cubanacan (by Tarazona cigars),,,,,,,Rebellion,,,,
American Viking,,,,,,,Regius Black Label,,,,
Uncharted,,,,,,,Regius Cigars,,,,
Don Jose Correa,,,,,,,Regius Exclusivo USA Blue,,,,
Flor de Camaguey,,,,,,,Regius Exclusivo USA Red,,,,
Semper Fi,,,,,,,Regius Exclusivo USA White,,,,
Roll Back (C&C Cigars),,,,,,,Remedios,,,,
Got Your 6,,,,,,,Riata,,,,
Baron Ullman,,,,,,,Riata Cigars,,,,
Matacan,,,,,,,Riata Dominican,,,,
Royal Hawaiian,,,,,,,Rocky Patel Freedom,,,,
Islenos,,,,,,,Rocky Patel Freedom Connecticut,,,,
Magnum Force,,,,,,,Rocky Patel Freedom Maduro,,,,
Riata,,,,,,,Rocky Patel Grand Reserve,,,,
Viva Bandito,,,,,,,Rocky Patel Hamlet 2020,,,,
Palomitas,,,,,,,Rocky Patel HR500 by Gary Sheffield,,,,
American Stogies,,,,,,,Rocky Patel II-XXVI,,,,
Purofino,,,,,,,Rocky Patel Java Latte,,,,
Havana,,,,,,,Rocky Patel Java Maduro,,,,
Nacionales W,,,,,,,Rocky Patel Java Mint,,,,
Playboy by Altadis,,,,,,,Rocky Patel Java Red,,,,
Ciboney,,,,,,,Rocky Patel JR 50th Anniversary,,,,
Rosa Cuba,,,,,,,Rocky Patel LB1,,,,
Alonso Menendez,,,,,,,Rocky Patel Legends 52 Ray Lewis,,,,
ACID (See Drew Estate),,,,,,,Rocky Patel Number 6,,,,
La Mia,,,,,,,Rocky Patel Olde World Reserve Corojo,,,,
Bogey's Stogies (Alec Bradley),,,,,,,Rocky Patel Olde World Reserve Maduro,,,,
May Rosa,,,,,,,Rocky Patel Private Cellar,,,,
Cupido,,,,,,,Rocky Patel Quarter Century,,,,
Damn Good Dominicans,,,,,,,Rocky Patel Royale,,,,
Bella Torres,,,,,,,Rocky Patel Sixty,,,,
Carabana,,,,,,,Rocky Patel Winter Collection,,,,
Sandes,,,,,,,RoMa Craft Baka,,,,
Don Juan (Nic),,,,,,,RoMa Craft CroMagnon,,,,
Casa de Diablo,,,,,,,RoMa Craft CroMagnon Aquitaine,,,,
Zoidian,,,,,,,RoMa Craft Intemperance BA XXI,,,,
Vueltabajo,,,,,,,Romeo 505 Nicaragua by Romeo y Julieta,,,,
Regalo,,,,,,,Romeo by Romeo y Julieta,,,,
Olor,,,,,,,Romeo by Romeo y Julieta Aging Room,,,,
Flor de Jalapa,,,,,,,Romeo San Andres by RyJ,,,,
Gilberto Oliva (see Oliva/ Studio Tabac),,,,,,,Romeo y Julieta 1875,,,,
El Senor (Binnys),,,,,,,Romeo y Julieta 1875 Connecticut Nicaragua,,,,
Flor de Lis (Thompson),,,,,,,Romeo y Julieta 1875 Nicaragua,,,,
Nica,,,,,,,Romeo y Julieta 1875 Reserve Maduro,,,,
Motta,,,,,,,Romeo y Julieta Anejados,,,,
Tinder Box,,,,,,,Romeo y Julieta Aniversario,,,,
Don Lencho,,,,,,,Romeo y Julieta Cigars,,,,
Chisum,,,,,,,Romeo y Julieta Crafted by AJ Fernandez,,,,
Cara Mia,,,,,,,Romeo y Julieta Crafted by Plasencia,,,,
Don Sebastian,,,,,,,Saint Luis Rey Carenas,,,,
Tia Martia,,,,,,,Saint Luis Rey Cigars,,,,
Joya de la Romana,,,,,,,Saint Luis Rey Natural Broadleaf,,,,
Temple Hall,,,,,,,Saint Luis Rey Reserva Especial,,,,
La Flor de Navarette,,,,,,,Saint Luis Rey Serie G,,,,
708,,,,,,,Samurai,,,,
Gold Rush,,,,,,,San Cristobal,,,,
Infiniti,,,,,,,San Cristobal Cigars,,,,
Roly,,,,,,,San Cristobal Elegancia,,,,
Don Alfredo,,,,,,,San Cristobal Ovation Limited Edition,,,,
Cameroon Secrets,,,,,,,San Cristobal Quintessence,,,,
Don Zamora,,,,,,,San Cristobal Revelation,,,,
Cosechero (Thompson),,,,,,,Sancho Panza,,,,
Miguel y Familia,,,,,,,Sancho Panza Cigars,,,,
Don Norberto,,,,,,,Sancho Panza Double Maduro,,,,
Seijas,,,,,,,Sancho Panza Extra Fuerte,,,,
Don Ramos,,,,,,,Santa Fe Filtered Cigars,,,,
Rey Saladin,,,,,,,Seleccion By JR,,,,
San Miguel (Gurkha San Miguel),,,,,,,Seneca Filtered Cigars,,,,
Tabacos Sanchez,,,,,,,Siglo,,,,
Q-ban Fuerte,,,,,,,Siglo Limited Reserve,,,,
Murcielago Original Blend (see Espinosa y Ortega),,,,,,,Sin Compromiso Seleccion,,,,
Felon,,,,,,,Sindicato Casa Bella Nicaragua,,,,
Copanecos,,,,,,,Sindicato Cigars,,,,
La Joya Cubana,,,,,,,Sindicato Particulares,,,,
Hacienda Rio,,,,,,,Slaughterhouse Bundles,,,,
Havana Especial,,,,,,,Smoker's Choice Filtered Cigars,,,,
Little Big Man,,,,,,,Sobremesa,,,,
La Favorita (Canary Islands),,,,,,,Sobremesa Brulee,,,,
Chimera,,,,,,,Sobremesa Limited Edition Brulee Blue,,,,
Oro Negro,,,,,,,Southern Draw 300 Hands,,,,
Condega (Nicaragua Cigar Co.),,,,,,,Southern Draw 300 Hands Connecticut,,,,
Don Quijote,,,,,,,Southern Draw Cedrus,,,,
Valacari,,,,,,,Southern Draw Cigars,,,,
Ambos Mundos,,,,,,,Southern Draw Desert Rose,,,,
La Cuna,,,,,,,Southern Draw Firethorn,,,,
Sinatra,,,,,,,Southern Draw Jacob's Ladder,,,,
Conga Caliente,,,,,,,Southern Draw Jacobs Ladder Brimstone,,,,
Hill Country Humidor,,,,,,,Southern Draw Kudzu,,,,
Habana Real (US),,,,,,,Southern Draw Kudzu Lustrum,,,,
Montana Sport,,,,,,,Southern Draw Quickdraw,,,,
El Sabor de Miami,,,,,,,Southern Draw Rose of Sharon,,,,
Habana Real (Honduras),,,,,,,Special Jamaica Reserve,,,,
Gorel Unicos,,,,,,,Special Jamaicans,,,,
Antonius,,,,,,,StillWell Star,,,,
Don Seville (Hon),,,,,,,Surrogates by L'Atelier,,,,
Kafie 1901,,,,,,,Tabacalera Palma Ready To Smoke Bundles,,,,
Esteli Overruns,,,,,,,Tabacos Baez Serie S.F.,,,,
Maria Guerrero,,,,,,,Tabak Especial by Drew Estate,,,,
Governor's,,,,,,,Tabaquero by Hamlet Paredes,,,,
Morton Collection,,,,,,,Talon Filtered Cigars,,,,
Habana Treasure,,,,,,,Tatiana Cigars,,,,
Soleares,,,,,,,Tatiana Classic,,,,
Gran Cantidad,,,,,,,Tatiana Classic Trio,,,,
Master Bradley's Premium Dominican,,,,,,,Tatiana Coffee Break,,,,
Reyes Family,,,,,,,Tatiana Dolce,,,,
Maker's Choice,,,,,,,Tatiana La Vita,,,,
El Original,,,,,,,Tatiana Mini Tins,,,,
Grand Havana,,,,,,,Tatiana Robusto,,,,
Cubadom,,,,,,,Tatiana Trios Petite,,,,
N2,,,,,,,Tatuaje 10th Anniversary,,,,
Bravos (Canary Islands),,,,,,,Tatuaje Avion,,,,
Blue Label,,,,,,,Tatuaje Black Label,,,,
Los Classicos Rejects,,,,,,,Tatuaje Broadleaf,,,,
Roger Jacobi Cigars,,,,,,,Tatuaje Cigars,,,,
Clipper Gold Reserve,,,,,,,Tatuaje Cohetes,,,,
Casa del Puro,,,,,,,Tatuaje Cojonu,,,,
Mandalay,,,,,,,Tatuaje Fausto,,,,
Warfighter Tobacco,,,,,,,Tatuaje Havana VI,,,,
Byron,,,,,,,Tatuaje Havana VI Verocu,,,,
Cigar Hut,,,,,,,Tatuaje La Riqueza,,,,
San Cristobal de La Habana,,,,,,,Tatuaje M.E. II Limited Edition,,,,
Thunderdome,,,,,,,Tatuaje M.E. Limited Edition,,,,
La Hara,,,,,,,Tatuaje Miami,,,,
Santa Cruz (Canary Islands),,,,,,,Tatuaje Monsters,,,,
John Aylesbury,,,,,,,Tatuaje Negociant Monopole,,,,
Top Cigars,,,,,,,Tatuaje Nuevitas,,,,
Emerson,,,,,,,Tatuaje Reserva,,,,
El Dorado,,,,,,,Tatuaje Serie P,,,,
El Trelles,,,,,,,Tatuaje Skinny Monsters,,,,
Medici (by Alec Bradley),,,,,,,Tatuaje T110 Limited Edition,,,,
Pontalba,,,,,,,Tatuaje Tattoo,,,,
Johnny-O,,,,,,,Te-Amo,,,,
Puritos,,,,,,,Te-Amo Cigars,,,,
Boneshaker,,,,,,,Temple Hall,,,,
Cheap Bastard,,,,,,,The Bourbon Cigars,,,,
Tabacalera y Familia,,,,,,,The Griffin's,,,,
Rio de Cuba,,,,,,,The Griffin's Cigars,,,,
Cuban Cigars 2U,,,,,,,The King Is Dead by Robert Caldwell,,,,
La Palma de Oro (See Cuban Cigar Factory),,,,,,,The King Is Dead Escape Plan,,,,
Canimao,,,,,,,The Oscar Habano,,,,
American Legion,,,,,,,The Oscar Maduro,,,,
Fuego del Rey,,,,,,,The Rake by MoyaRuiz,,,,
Dynamite (Indian Head Cigars),,,,,,,Thirty Eight Special Filtered Cigars,,,,
Pancho Floods,,,,,,,Tiparillo,,,,
Don Barco,,,,,,,Todos Las Dias,,,,
Crown Jewel (M. Misti),,,,,,,Topper Handmade,,,,
Habano Primero,,,,,,,Toscanello Shorts,,,,
La Flor de Murias,,,,,,,Toscano,,,,
Don Barreto,,,,,,,Toscano Cigars,,,,
Tabacalera Leyendas Cubanas,,,,,,,TTT Trinidad Paradox,,,,
Chicamocha,,,,,,,Umbagog,,,,
Blackwatch,,,,,,,Uncharted,,,,
Batey,,,,,,,Undercrown,,,,
Cammarata,,,,,,,Undercrown 10,,,,
W.D.& H.O.Wills,,,,,,,Undercrown Shade,,,,
Cubero,,,,,,,Undercrown Sungrown,,,,
Doc Holliday,,,,,,,Untitled Project From Room 101 & Cigar Dojo,,,,
In Puros Veritas,,,,,,,Valencia Cigars,,,,
Highclere Castle Cigar Co.,,,,,,,Valencia Connecticut,,,,
Casino Club (Finck),,,,,,,Valencia Sun Grown,,,,
Mi Barrio,,,,,,,Vallejuelo Classic,,,,
Hispaniola,,,,,,,Vega Magna,,,,
Back 9 Cigar Company,,,,,,,VegaFina,,,,
Prince Albert,,,,,,,VegaFina 1998,,,,
Javier Vizcaino,,,,,,,VegaFina Cigars,,,,
Atlas World Select (Corona Cigar Co.),,,,,,,VegaFina Nicaragua,,,,
Castano,,,,,,,Viaje,,,,
Don Macho,,,,,,,Viaje 10 Plus 2 and a Half Anniversary,,,,
A.O.A.,,,,,,,Viaje Wilshire and La Jolla,,,,
Golfers' Choice,,,,,,,Villiger 125,,,,
Alfredo's Signature Edition,,,,,,,Villiger Braniff,,,,
Francisco de Miranda,,,,,,,Villiger Cigars,,,,
Topstone,,,,,,,Villiger Cuellar Connecticut Kreme,,,,
La Surina,,,,,,,Villiger Export,,,,
Cuevas Habanos,,,,,,,Villiger Handmade Cigars,,,,
Culture,,,,,,,Villiger Kiel,,,,
Casdagli Cigars,,,,,,,Villiger La Capitana,,,,
Stradivarius,,,,,,,Villiger La Flor de Ynclan,,,,
El Aprendiz,,,,,,,Villiger La Vencedora,,,,
Sol de Cuba,,,,,,,Villiger Original,,,,
Angelina,,,,,,,Villiger Selecto Connecticut,,,,
Dos Jotas,,,,,,,Virginia Heritage,,,,
Kristian James,,,,,,,W & D Honduran Bundles,,,,
Vengeance,,,,,,,Warped Chinchalle,,,,
Judge Wright,,,,,,,Warped Cigars,,,,
Second Growth,,,,,,,Warped Companion,,,,
Vartan,,,,,,,Warped Corto,,,,
Kings (unlimited),,,,,,,Warped Don Reynaldo,,,,
La Sabana (Cuba Tobacco Cigar Co.),,,,,,,Warped Futuro,,,,
Felipe Forza,,,,,,,Warped La Colmena,,,,
Cuban Selection (by Kristoff),,,,,,,Warped La Hacienda,,,,
Port Royal,,,,,,,Warped Maestro del Tiempo,,,,
Manifiesto,,,,,,,Warped Nicotina,,,,
Perfect Cut,,,,,,,Warped Serie Gran Reserva 1988,,,,
Puroexpress,,,,,,,White Owl Cigars,,,,
GTO Cigars,,,,,,,William Penn,,,,
Jose Paco,,,,,,,Winchester Little Cigars,,,,
Andiamo,,,,,,,Witchdoktor,,,,
Samana,,,,,,,Wynwood Hills,,,,
Mark Twain,,,,,,,Zino Nicaragua,,,,
EH Cigars (Edgar Hoill),,,,,,,,,,,
"3x3 (by Occidental, Davidoff)",,,,,,,,,,,
Crimson Lord,,,,,,,,,,,
Los Statos,,,,,,,,,,,
Los Libertadores,,,,,,,,,,,
Indian,,,,,,,,,,,
Macorix,,,,,,,,,,,
Vegas de Fonseca,,,,,,,,,,,
Cuban Delights,,,,,,,,,,,
American Western,,,,,,,,,,,
ColÃ³n,,,,,,,,,,,
Imperial Stout (by Gran Habano),,,,,,,,,,,
W. F. Mild (Finck),,,,,,,,,,,
Monyaz,,,,,,,,,,,
Nicaraguan Factory Overruns (JR Cigars),,,,,,,,,,,
Oh Que Bueno,,,,,,,,,,,
Mythos,,,,,,,,,,,
Fighting Cock (Philippines),,,,,,,,,,,
FAKE Cohiba - Mexican Variety,,,,,,,,,,,
Napa Reserve,,,,,,,,,,,
El Faro,,,,,,,,,,,
Malaguena,,,,,,,,,,,
Indigo,,,,,,,,,,,
Hecho a Mano Dominicana,,,,,,,,,,,
Albatros,,,,,,,,,,,
Don Osvaldo,,,,,,,,,,,
MacBeth,,,,,,,,,,,
El Rey del Mundo (Cuban),,,,,,,,,,,
Chevere by Villiger Ireland,,,,,,,,,,,
Havana Sweets,,,,,,,,,,,
MontePalma,,,,,,,,,,,
Light Me Up,,,,,,,,,,,
Puros Huerfanos,,,,,,,,,,,
Aristocrat by Jose Blanco,,,,,,,,,,,
XXO,,,,,,,,,,,
Havana Jim,,,,,,,,,,,
Filipinas,,,,,,,,,,,
Briones,,,,,,,,,,,
New Generation,,,,,,,,,,,
Milano Cigar Collection,,,,,,,,,,,
Candlelight,,,,,,,,,,,
FP (Fuller's Pullers),,,,,,,,,,,
Francisco Pla,,,,,,,,,,,
Alvarez Lopez,,,,,,,,,,,
La Flor Del Caney,,,,,,,,,,,
El Incomparable (Texas Cigar Brothers),,,,,,,,,,,
Cult,,,,,,,,,,,
Anoranzas,,,,,,,,,,,
Zahi,,,,,,,,,,,
Stogies on Grand,,,,,,,,,,,
Legion,,,,,,,,,,,
Havana Cigars-Don Pedro Ramos,,,,,,,,,,,
Rav,,,,,,,,,,,
Hobo,,,,,,,,,,,
Backgammon,,,,,,,,,,,
Puro Placer,,,,,,,,,,,
Relajado,,,,,,,,,,,
Corps Diplomatique,,,,,,,,,,,
Master Roller,,,,,,,,,,,
Nestor,,,,,,,,,,,
J.R. Tobacco,,,,,,,,,,,
Brocatus,,,,,,,,,,,
Great Lakes Cigar Company,,,,,,,,,,,
Steel City Cigarillos,,,,,,,,,,,
Flor y Nata,,,,,,,,,,,
The Brick (see Torano),,,,,,,,,,,
Black Works Studio,,,,,,,,,,,
Calderilla,,,,,,,,,,,
Aroma de Cafe,,,,,,,,,,,
Morejon y Cuesta,,,,,,,,,,,
Rosa Nicaragua,,,,,,,,,,,
La Restina,,,,,,,,,,,
Kelner,,,,,,,,,,,
Calle Ocho,,,,,,,,,,,
Inferno (by Oliva),,,,,,,,,,,
Honduras Special,,,,,,,,,,,
Alec & Bradley,,,,,,,,,,,
Hermosa Cigars,,,,,,,,,,,
La Familia Robaina,,,,,,,,,,,
Copa Havana Reserve Speciale du Cameroun,,,,,,,,,,,
Andros,,,,,,,,,,,
Palomino,,,,,,,,,,,
San Victor,,,,,,,,,,,
Juan De La Cosa,,,,,,,,,,,
Ramayana,,,,,,,,,,,
New Havana Cigars,,,,,,,,,,,
Spectre (by A.J. Fernandez),,,,,,,,,,,
Don Stefano,,,,,,,,,,,
Paul Stulac,,,,,,,,,,,
Don Fausto,,,,,,,,,,,
Edgar Sued,,,,,,,,,,,
La Vida,,,,,,,,,,,
Solo Aroma de Esteli,,,,,,,,,,,
Duya,,,,,,,,,,,
Troya (Cuban),,,,,,,,,,,
Cabanas (Cuban),,,,,,,,,,,
La Caridad del Cobre,,,,,,,,,,,
Bentley,,,,,,,,,,,
Domino Park,,,,,,,,,,,
Decision,,,,,,,,,,,
Hobson's Choice,,,,,,,,,,,
Jose Girbes,,,,,,,,,,,
FÃ¼rst Bismarck,,,,,,,,,,,
Olympia,,,,,,,,,,,
Joyas de Panama,,,,,,,,,,,
Copacabana,,,,,,,,,,,
Sencillo,,,,,,,,,,,
JFC (Just for Catalogs),,,,,,,,,,,
Casa de Torres,,,,,,,,,,,
Farias,,,,,,,,,,,
GB Naked,,,,,,,,,,,
Chavon (Thompson),,,,,,,,,,,
Poderozo,,,,,,,,,,,
El Patio,,,,,,,,,,,
